"Organization - ID","Organization - Name","Organization - Labels","Organization - Open deals","Organization - Activities to do","Organization - Industry","Organization - Odoo Status","Organization - Website ","Organization - Website","Organization - Address","Organization - Region of Address","Organization - State/county of Address","Organization - Owner","Organization - People"
"498","Bestinfo Systems","Fresh Data","0","0","IT Service Provider","","https://bestinfo.systems/","","15 Bank St, 121F,White Plains, New York-10606 USA, 10606 White Plains, New York, United States","Westchester County","New York","Lasse Schriver Nielsen","1"
"499","Bymacht","Fresh Data","0","0","IT Service Provider","","https://bymacht.com.sg/","","627A Aljunied Road, 389842 Singapore, Singapore, Singapore","","","Lasse Schriver Nielsen","1"
"500","COS Global Services","Prospect","0","2","IT Service Provider","","cosglobalservices.com","","Avda. de la Industria 29B, 28760 Tres Cantos, Madrid, Spain","Madrid","Comunidad de Madrid","Lasse Schriver Nielsen","3"
"501","Dane Computer","Customer","0","0","Broker","","danecomputer.com","","40 Søndergade | DK","","","Lasse Schriver Nielsen","2"
"502","DTC Telecom","Prospect","0","2","ITAD","","dtc-telecom.co.uk","","Park End Works, NN13 5LX. Croughton, Northamptonshire, United Kingdom","Northamptonshire","England","Lasse Schriver Nielsen","2"
"503","DV Trading","Fresh Data","0","0","Broker","","dvtrading.com","","Gedevasevej 37, 3520 Farum, Denmark","","","Lasse Schriver Nielsen","2"
"504","Epoka","Fresh Data","0","0","ITAD","","epoka.com","","Lansen 19, 9230 Svenstrup, Denmark","","","Lasse Schriver Nielsen","5"
"507","EXEO Global Pte","Fresh Data","0","0","Corporate","","https://exeo-global.com/","","8 Aljunied Avenue 3, Headquarters Singapore, , Singapore","","","Lasse Schriver Nielsen","2"
"508","Go Communications Systems","Prospect","0","3","ITAD","","gocomsys.com","","Unit 49, Greenway Business Centre, CM19 5QE Harlow, Essex, United Kingdom","Essex","England","Lasse Schriver Nielsen","4"
"510","INFRADAX","Fresh Data","0","0","ITAD","","infradax.nl","","Basicweg 12a, 3821 BR Amersfoort, Utrecht, Netherlands","Amersfoort","Utrecht","Lasse Schriver Nielsen","3"
"511","Inside Systems","Customer","0","0","ITAD","","insidesystems.com","","Troensevej 8, 9220 Aalborg, , Denmark","","","Lasse Schriver Nielsen","5"
"512","K&P Computer Service- und Vertriebs","Fresh Data","0","0","IT Service Provider","","kpc.de","","Berta-Cramer-Ring 10, 65205 Wiesbaden, HE, Germany","Darmstadt","Hessen","Lasse Schriver Nielsen","3"
"513","Kimbrer Computer","Lapsed Customer","0","0","ITAD","","https://www.kimbrer.com/","","Messevej 12, 9600 Aars, Nordjylland, Denmark","","","Lasse Schriver Nielsen","4"
"514","Layers Logic IT","Fresh Data","0","0","IT Service Provider","","layerslogic.com","","90 State St, 12207 Albany, New York, United States","Albany County","New York","Lasse Schriver Nielsen","1"
"515","LedMax Electronics","Fresh Data","0","0","Broker","","lgx.ro","","Calea Buzău 46, 107071 Ploiestiori, Prahova, Romania","Blejoi","Prahova","Lasse Schriver Nielsen","3"
"516","Miller Anlagen","Fresh Data","0","0","ITAD, IT Service Provider","","miller-anlagen.de","","Kaiser-Friedrich-Promenade 105, 61348 Bad Homburg v. d. H., Hessen, Germany","Darmstadt","Hessen","Lasse Schriver Nielsen","1"
"517","MIT Services","Fresh Data","0","0","","","mitservices.com.au","","PO Box 5402, 2603 Kingston, ACT, Australia","","Australian Capital Territory","Lasse Schriver Nielsen","2"
"519","Nordic Computer","Fresh Data","0","0","Broker","","nordiccomputer.com","","Strømmen 2, 9400 Nørresundby, , Denmark","","","Lasse Schriver Nielsen","4"
"521","Nostro","Prospect","0","1","Broker","","https://nost.dk/","","42 Voerbjergvej | Nordjylland | DK","","","Lasse Schriver Nielsen","1"
"522","Agile Data Services","Fresh Data","0","0","ITAD","","https://www.agiledataservices.com.au/?gclid=CjwKCAiAgeeqBhBAEiwAoDDhnx0XNch0bHpuld6aPrjLUpN-RWCxTTN7I6am8f2zj56USL4sJhHL7xoCbskQAvD_BwE","","4B Wilmette Place, 2103 Mona Vale, New South Wales, Australia","Northern Beaches Council","New South Wales","Lasse Schriver Nielsen","1"
"524","S A L T O spol. s r.o","Fresh Data","0","0","Data Centre, IT Service Provider","","https://www.salto.cz/en","","Kaštanová 129a, 620 00 Brno,  Jihomoravský, Czech Republic","Brno-město","Jihomoravský kraj","Lasse Schriver Nielsen","3"
"525","Tech Camel","Warm lead","1","0","Broker","","https://www.recycleinme.com/rim-techcamel/home","","2nd floor, Adv Dharmaraj Complex, Court Road, Nagercoil,TN - 629 001.","","Tamil Nadu","Lasse Schriver Nielsen","1"
"526","Tomax Technology","Fresh Data","0","0","IT Service Provider","","tomaxtechnology.com","",", KT14 7JL Byfleet, Surrey, United Kingdom","Surrey","England","Lasse Schriver Nielsen","1"
"527","Ultratest Solutions - A Restore Technology company","Fresh Data","0","0","IT Service Provider","","ultratestsolutions.com","","Eastman Way, SG1 4SZ Stevenage, Hertfordshire, United Kingdom","Hertfordshire","England","Lasse Schriver Nielsen","2"
"528","Voice And Data Resale","Fresh Data","0","0","IT Service Provider","","http://www.voicedataltd.com/","","","","","Lasse Schriver Nielsen","1"
"529","3B-IT","Prospect","0","1","Broker","","http://www.technoshack.co.uk","","Unit D2 (2), Walter Leigh Way, Moss Industrial Estate, Leigh, Lancashire WN7 3PT","Greater Manchester","England","Lasse Schriver Nielsen","1"
"531","3ICE IT Services","Prospect","0","2","Broker","","","","20 Brickwood Road, Croydon CR06UL","Greater London","England","Lasse Schriver Nielsen","3"
"532","A-TEC International","Prospect","0","0","Broker","","https://www.a-tecuk.com/","","16 High Street, TN15 0AJ Sevenoaks, England, United Kingdom","Kent","England","Lasse Schriver Nielsen","1"
"533","Abdali Tech UK","Fresh Data","0","0","Broker","","","","Kemp House, 160 City Road, London EC1V 2NX","Greater London","England","Lasse Schriver Nielsen","1"
"534","AC Computer Warehouse","Prospect","0","1","Broker","","https://accomputerwarehouse.com","","Unit 6 A, Kingston Mill, Chestergate, Stockport, Manchester SK3 0AL","Greater Manchester","England","Lasse Schriver Nielsen","1"
"536","Ace Computers","Fresh Data","0","0","IT Service Provider","","http://www.acecomputers.com","","340 Howard Ave, 60018 Des Plaines, IL, United States","Cook County","Illinois","Lasse Schriver Nielsen","2"
"537","ADAPT Global","Prospect","0","1","Broker","","https://www.adapt.mobi/contact/","","59 High Street,  Great Missenden, England, United Kingdom","Buckinghamshire","England","Lasse Schriver Nielsen","3"
"538","Advance Services","Prospect","0","0","ITAD","","https://www.advance-services.co.uk/","","Unit B4, RG7 4PN Reading, Berkshire, United Kingdom","Berkshire","England","Lasse Schriver Nielsen","1"
"539","AirPack Systems","Fresh Data","0","0","","","http://www.airpacksystems.com","","Kingsland Business Park, RG24 8LJ Basingstoke, Hampshire, United Kingdom","Hampshire","England","Lasse Schriver Nielsen","1"
"540","ALM Wholesale","Customer","1","0","ITAD","","https://www.almwholesaleltd.com/","","13, CB9 8PU Haverhill, Suffolk, United Kingdom","Suffolk","England","Lasse Schriver Nielsen","2"
"541","Apex IT Devices","Prospect","0","0","Broker","","http://www.apexitdevices.com","","60 Cherry St, BB1 1NR Blackburn, Lancashire, United Kingdom","Blackburn with Darwen","England","Lasse Schriver Nielsen","1"
"542","Apogee Corporation","Fresh Data","0","0","IT Service Provider","","https://apogeecorp.com/managed-it-services/","","Nimbus House, Liphook Way, ME16 0FZ Maidstone, Kent, United Kingdom","Kent","England","Lasse Schriver Nielsen","2"
"543","Approved Technology","Prospect","0","1","Broker","","https://www.approved-technology.com/","","Wyncombe House , BH5 2JU Bournemouth, Dorset, United Kingdom","Dorset","England","Lasse Schriver Nielsen","3"
"544","Asset Lifecycle Solutions","Customer","0","0","ITAD","","https://assetlifecycle.co.uk/contact-us/","","3 Christleton Court, WA7 1ST Runcorn, Cheshire, United Kingdom","Borough of Halton","England","Lasse Schriver Nielsen","4"
"545","TechReset","Fresh Data","0","0","Broker","","https://techreset.com/services/it-asset-value-recovery/","","2301 Royal Windsor Dr Unit # 2,, L5J 1K5 Mississauga, Ontario, Canada","Regional Municipality of Peel","Ontario","Lasse Schriver Nielsen","1"
"546","Air space technology","Prospect","0","1","Broker","","http://www.airspacetechnology.co.uk","","Lewis Building, 35 Bull St., Birmingham B4 6AF","West Midlands","England","Lasse Schriver Nielsen","1"
"547","ALM Trading","Fresh Data","0","0","Broker","","http://www.almict.co.uk","","Unit 29, Imex Business Park, Stechford, Birmingham B33 9AL","West Midlands","England","Lasse Schriver Nielsen","1"
"548","Alvi Traders UK","Fresh Data","0","0","ITAD","","http://www.alvitraders.com","","Unit 15, Whit Worth Industrial Estate, Tilton Road, Small Heath, Birmingham B9 4PP","West Midlands","England","Lasse Schriver Nielsen","2"
"549","APPLEBITE2NDBITE","Prospect","0","1","Broker","","http://www.applebite2ndbite.com","","3rd Floor, 86-90 Paul Street, London EC2A 4NE","Greater London","England","Lasse Schriver Nielsen","2"
"550","Archie IT","Fresh Data","0","0","Broker","","http://www.archieit.co.uk","","4 Courtwell Business Park, Crowborough TN6 2JD","East Sussex","England","Lasse Schriver Nielsen","0"
"551","ASECCA","Prospect","0","4","ITAD","","http://www.asecca.co.uk","","43 Northgate, LA3 3PA Lancaster, Lancashire, United Kingdom","Lancashire","England","Lasse Schriver Nielsen","4"
"552","Astringo Commodities","Prospect","0","2","Broker","","http://www.astringo.co.uk","","Unit 1 Viceroy Court, Bedford Road, Petersfield GU32 3LJ","Hampshire","England","Lasse Schriver Nielsen","2"
"554","AYOO SERVICES","Prospect","0","1","Broker","","http://www.ayoo-it.co.uk","","Longwood Park, Trafford Park, M17 1PZ MANCHESTER, , United Kingdom","Greater Manchester","England","Lasse Schriver Nielsen","2"
"555","Ballicom","Prospect","0","2","Broker","","http://www.ballicom.co.uk","","101 Lockhurst Lane, CV6 5SF Coventry, England, United Kingdom","West Midlands","England","Lasse Schriver Nielsen","2"
"556","Baseline Technologies","Fresh Data","0","0","Broker","","http://www.baseline-technologies.com","","web development watford, 186 St Albans Rd, Watford, Hertfordshire WD24 4AS, UK","Hertfordshire","England","Lasse Schriver Nielsen","2"
"558","BCPR Technologies","Prospect","0","1","Broker","","http://www.bcprtech.com","","14 Curzon Way, Christchurch BH23 4LG","Dorset","England","Lasse Schriver Nielsen","1"
"559","Bentham","Prospect","0","1","Broker","","https://www.makingitgreen.co.uk/","",", TA11 6SP Somerton, , United Kingdom","Somerset","England","Lasse Schriver Nielsen","2"
"561","Best4Systems","Prospect","0","2","Broker","","http://www.best4systems.co.uk","","Unit B Easting Business Estate, BN14 8HQ Worthing, West sussex, United Kingdom","West Sussex","England","Lasse Schriver Nielsen","2"
"562","Black Barn Computers","Fresh Data","0","0","Broker","","http://www.blackbarncomputers.com","","30 Rippers Court, Station Road, Sible Hedingham, Essex CO9 3PY","Essex","England","Lasse Schriver Nielsen","1"
"563","BNM Services","Fresh Data","0","0","Broker","","http://www.bnmservices.co.uk","","10 Rivett Close, Baldock SG76TW","Hertfordshire","England","Lasse Schriver Nielsen","1"
"564","Bulk GSM","Prospect","0","2","ITAD","","http://www.bulkgsm.com","","25 Dalmeyer Road, NW10 2XA London, , United Kingdom","Greater London","England","Lasse Schriver Nielsen","3"
"566","IT Reuse Buy Back IT","Fresh Data","0","0","ITAD","","http://www.itreuse.co.uk","","Rose Cottage, Holybread Lane, Little Baddow CM3 4BP","Essex","England","Lasse Schriver Nielsen","1"
"567","Buyer Area","Prospect","0","1","Broker","","http://www.buyerarea.co.uk","","Unit 3 Marlborough Trading Estate, West Wycombe Ro, High Wycombe, HP11 2LB","Buckinghamshire","England","Lasse Schriver Nielsen","2"
"569","CDS Printer Solutions","Fresh Data","0","0","IT Service Provider","","http://www.cdsprintersolutions.co.uk","","Units 18-20 Rosevale Road, Parkhouse Industrial Estate West, Newcastle under Lyme, Staffordshire ST5 7EF","Staffordshire","England","Lasse Schriver Nielsen","1"
"570","Celebrium Technologies","Fresh Data","0","0","Broker","","http://www.celebriumtech.com","","Unit 11, Black Dyke Mills, Brighouse Road, Bradford BD13 1QA","West Yorkshire","England","Lasse Schriver Nielsen","1"
"571","CENTREX PRINT SERVICES","Fresh Data","0","0","ITAD","","","","5 Denbigh Hall, Bletchley, Milton Keynes MK3 7QT","Milton Keynes","England","Lasse Schriver Nielsen","1"
"572","Centrex computing services","Fresh Data","0","0","IT Service Provider","","https://centrexservices.co.uk/","","Rotary Way, NE63 8QZ Newcastle-upon-tyne, Northumberland, United Kingdom","Tyne and Wear","England","Lasse Schriver Nielsen","3"
"575","Channel-C","Prospect","0","3","ITAD","","https://www.channel-c.com/contact/","","Easthampstead Road, RG12 1NF Bracknell, England, United Kingdom","Berkshire","England","Lasse Schriver Nielsen","3"
"578","Circle Mobile","Fresh Data","0","0","Broker","","http://www.circlemobile.mobi","","71-75 Shelton Street, Covent Garden, London WC2H 9JQ","Greater London","England","Lasse Schriver Nielsen","2"
"581","Circle Stock","Prospect","0","2","Broker","","http://www.circlestock.com","","Segensworth Business Centre, PO15 5RQ Fareham, England, United Kingdom","Hampshire","England","Lasse Schriver Nielsen","3"
"583","Com Cubed","Fresh Data","0","0","IT Service Provider","","http://www.comcubed.co.uk","","1 COLLON TERRACE DERRY, BT48 7QP Londonderry, , United Kingdom","Derry and Strabane","Northern Ireland","Lasse Schriver Nielsen","2"
"584","COMEA Computer","Prospect","0","1","Broker","","http://www.comea.com","","Unit 4, Lakeside Court, LE10 3BH Hinckley, , United Kingdom","Leicestershire","England","Lasse Schriver Nielsen","1"
"585","Complete Care Consultancy","Prospect","0","2","Broker","","http://www.completecareconsultancy.co.uk","","SBC House, SM6 7AH Surrey, England, United Kingdom","Surrey","England","Lasse Schriver Nielsen","2"
"587","Computer factory uk","Prospect","0","1","Broker","","http://www.computerfactoryuk.com","","71-75 Shelton Street, London WC2H 9JQ","Greater London","England","Lasse Schriver Nielsen","1"
"588","Comtek Network Systems","Fresh Data","0","0","ITAD, IT Service Provider","","http://www.comtek.co.uk","","Unit 108, Tenth Avenue (Zone 3), CH5 2UA Deeside, Flintshire, United Kingdom","Flintshire","Wales","Lasse Schriver Nielsen","2"
"589","CONTINENTEL","Fresh Data","0","0","IT Service Provider","","http://www.contitel.co.uk","","Unit 20A, Calderdale Business Park, Club Lane, Halifax HX2 8DB","West Yorkshire","England","Lasse Schriver Nielsen","1"
"590","Crown Workspace","Fresh Data","0","0","IT Service Provider","","http://www.itresale.co.uk","","1 Arda Road, Edmonton, London N9 0BD","Greater London","England","Lasse Schriver Nielsen","3"
"592","Datek Solutions","Fresh Data","0","0","Broker","","http://www.datek.co.uk","","Unit 13 Elder Way, Waterside Drive, Langley, Berkshire SL3 6EP","Berkshire","England","Lasse Schriver Nielsen","2"
"593","Deane Computer Solutions","Fresh Data","0","0","IT Service Provider","","http://www.deane247.com","","Unit 8F, Parkway Farm, Dorchester, Dorset DT1 3AR","Dorset","England","Lasse Schriver Nielsen","3"
"594","DISCOVERY COMPUTER SERVICES","Fresh Data","0","0","ITAD, Broker","","http://www.buy-it-back.com","","Discovery House, Burnham Business Park, Burnham-On-Crouch, Essex CM0 8TE","Essex","England","Lasse Schriver Nielsen","1"
"595","Dragon Computer Remarketing","Fresh Data","0","0","IT Service Provider","","http://www.dragoncomputers.com","","Dragon House, PO3 5SD Portsmouth, Hampshire, United Kingdom","Portsmouth","England","Lasse Schriver Nielsen","2"
"596","EBM Office Centre","Fresh Data","0","0","IT Service Provider","","http://www.ebm.co.uk","","Lambourne House, RM1 3LD London, England, United Kingdom","Greater London","England","Lasse Schriver Nielsen","2"
"597","Ecom Management (UK)","Fresh Data","0","0","IT Service Provider","","http://www.ecommanagement.co.uk","",",  Tamworth, West Midlands, United Kingdom","West Midlands","England","Lasse Schriver Nielsen","1"
"598","eJobber","Fresh Data","0","0","Broker","","http://www.ejobber.co.uk","","85 Great Portland Street, London W1W 7LT","Greater London","England","Lasse Schriver Nielsen","3"
"600","Euro Options","Prospect","0","3","Broker","","http://www.eurooptions.co.uk","","Unit 5a, Greenvale Business Park, Todmorden Road, Littleborough, OL15 9FG Rochdale, England, United Kingdom","Greater Manchester","England","Lasse Schriver Nielsen","3"
"602","Everything IT","Fresh Data","0","0","IT Service Provider","","http://www.everythingit.net","","B162, 3 Edgar Buildings, Bath BA1 2FJ","Bath and North East Somerset","England","Lasse Schriver Nielsen","4"
"603","Excotek","Prospect","0","1","ITAD","","http://www.excotek.co.uk","","Suite 203, Group First House, BB12 7NG Padiham, Lancashire, United Kingdom","Lancashire","England","Lasse Schriver Nielsen","4"
"604","Exporttech Distribution","Fresh Data","0","0","ITAD","","http://www.exporttech.co.uk","","29 New Broadway, Uxbridge UB100LL","Greater London","England","Lasse Schriver Nielsen","1"
"605","Fala","Fresh Data","0","0","IT Service Provider","","http://fala-ltd.com/","","14 Eelmoor Road, Farnborough, Hampshire GU14 7QN","","Seoul","Lasse Schriver Nielsen","2"
"607","First Click Solutions","Fresh Data","0","0","IT Service Provider","","http://www.firstclicksolutions.co.uk","","Bay 5/6, Unit 1B, Balderstone Lane, Burnley BB10 2TS","Lancashire","England","Lasse Schriver Nielsen","1"
"608","Fixio","Fresh Data","0","0","IT Service Provider","","http://www.fixio.co.uk","","46 Quebec Street, BN2 9UZ Brighton, East Sussex, United Kingdom","Brighton and Hove","England","Lasse Schriver Nielsen","2"
"610","Flogit2us.com","Fresh Data","0","0","ITAD","","http://www.flogit2us.com","","The Tannery, Queensway, Rochdale OL11 2YW","Greater Manchester","England","Lasse Schriver Nielsen","1"
"611","FLP Solutions","Fresh Data","0","0","IT Service Provider","","http://www.flp4it.com","","Units 3- 5, CW10 0GF Middlewich, Cheshire, United Kingdom","","","Lasse Schriver Nielsen","3"
"612","Fox in the Box","Fresh Data","0","0","IT Service Provider","","http://www.foxinthebox.co.uk","","Unit Q Lancaster Road, Pocklington Airfield Industrial Estate, YO24 3JB Pocklington, North Yorkshire, United Kingdom","York","England","Lasse Schriver Nielsen","2"
"614","Gadget Centre (UK)","Fresh Data","0","0","ITAD","","","","Unit 14, 237 Union Street, Plymouth, PL1 3HQ","Plymouth","England","Lasse Schriver Nielsen","1"
"615","Gentronics Solutions","Fresh Data","0","0","ITAD, IT Service Provider","","http://www.gentronics.co.uk","","Banda Industrial Estate, SN10 3DY Devizes, England, United Kingdom","Wiltshire","England","Lasse Schriver Nielsen","3"
"618","Gaia Packaging Solutions","Prospect","0","1","Broker","","http://www.gaiaps.com","","Unit 2, The Office Campus, Paragon Business Park, Red Hall Court, Wakefield, West Yorkshire WF1 2UY","West Yorkshire","England","Lasse Schriver Nielsen","1"
"619","Genuine Solutions","Prospect","0","3","Broker","","http://www.genuinesolutions.co.uk","","10 Silverglade Business Park, KT9 2QL Chessington, Surrey, United Kingdom","Greater London","England","Lasse Schriver Nielsen","4"
"620","Ghekko","Fresh Data","0","0","IT Service Provider","","http://www.ghekko.com","","Hulley Road, SK10 2NE Macclesfield, Cheshire, United Kingdom","Cheshire East","England","Lasse Schriver Nielsen","2"
"622","Global Computer Specialists","Fresh Data","0","0","Broker","","http://www.gcs-recycling.com","","11311, TX 75229 Dallas, Texas, United States","Dallas County","Texas","Lasse Schriver Nielsen","1"
"623","Global Computers","Fresh Data","0","0","Broker","","","","Unit 12 Osier Way, Mitcham CR4 4NF","Greater London","England","Lasse Schriver Nielsen","1"
"626","GoSpec","Fresh Data","0","0","Broker","","http://www.gospec.co.uk","","8 Greenwich Quay, SE8 3EY London, England, United Kingdom","Greater London","England","Lasse Schriver Nielsen","1"
"627","GraphicSolutions","Prospect","0","1","Broker","","http://www.graphicsols.com","","Unit 12, Lakeside Business Park, Swan Lane, Sandhurst, Berkshire GU479DN","Berkshire","England","Lasse Schriver Nielsen","1"
"628","Green Eagle Limited","Prospect","0","1","Broker","","http://www.greeneagle.co.uk","","202 Thornton Road, London CR0 3EU","Greater London","England","Lasse Schriver Nielsen","1"
"629","Green it recycling uk","Prospect","0","1","Broker","","","","130 Chippenham Road, Harold Hill RM3 8HR","Greater London","England","Lasse Schriver Nielsen","1"
"630","Greenfuture IT Solutions","Fresh Data","0","0","IT Service Provider","","http://www.greenfutureit.co.uk","","10 Furzedown Road, London, SM2 5QE","Greater London","England","Lasse Schriver Nielsen","1"
"631","GTechIT","Fresh Data","0","0","Broker","","http://www.gtechit.co.uk","","9 Hughes Business Park, Wilverley Road, Christchurch BH23 3RU","Dorset","England","Lasse Schriver Nielsen","1"
"632","Hamilton Rentals - Flexible Technology Solutions","Use another supplier","0","0","IT Service Provider","","http://www.hamilton.co.uk,","","Oaklands Business Park, RG41 2FD Wokingham, Berkshire, United Kingdom","Berkshire","England","Lasse Schriver Nielsen","5"
"633","Hazell Computers","Prospect","0","1","ITAD","","","","4B Woodside Business Park, Whitley Wood Lane, Reading, RG2 8LW","Berkshire","England","Lasse Schriver Nielsen","1"
"634","HGK Solutions","Fresh Data","0","0","Broker","","http://www.hgksolutions.co.uk","","NEWTON PLACE,  GLASGOW, , United Kingdom","Glasgow City","Scotland","Lasse Schriver Nielsen","1"
"635","Hewlett Packard Enterprise","Fresh Data","0","0","Data Centre","","http://www.hpe.com","","1701 E Mossy Oaks Rd Spring, 77389 Houston, Texas, United States","Harris County","Texas","Lasse Schriver Nielsen","3"
"636","Imagine Technology","Fresh Data","0","0","ITAD","","http://www.imaginetechnologyltd.co.uk","","MERSEY STREET, SK1 2HX STOCKPORT, Greater Manchester, United Kingdom","Greater Manchester","England","Lasse Schriver Nielsen","1"
"637","iNet Group","Fresh Data","0","0","IT Service Provider","","http://www.inetgroup.co.uk","","11 Easter Park, Ferry Lane South, RM13 9BP Rainham, Essex, United Kingdom","Greater London","England","Lasse Schriver Nielsen","2"
"638","INFOCUS ID","Prospect","0","1","ITAD","","http://www.infocusid.co.uk","","Fennswood, Appleby Lane, DN20 0BG Broughton, Brigg, N Lincs, United Kingdom","North Lincolnshire","England","Lasse Schriver Nielsen","2"
"639","INFORSIGHT","Fresh Data","0","0","Broker","","","","45 Quayside Way, Hempsted, Gloucester GL2 5EX","Gloucestershire","England","Lasse Schriver Nielsen","1"
"640","Ingram Micro Lifecycle","Fresh Data","0","0","ITAD, IT Service Provider","","https://www.ingrammicrolifecycle.com/","","3351 Michelson Dr, 92612 Irvine, California, United States","Orange County","California","Lasse Schriver Nielsen","4"
"641","Inkhouse","Prospect","0","1","ITAD","","http://www.inkhouse.biz","","25 Fayrewood Drive, Great Leighs, Chelmsford, Essex CM3 1GY","Essex","England","Lasse Schriver Nielsen","1"
"642","Innovent Recycling","Prospect","0","2","ITAD","","http://www.innovent-recycling.co.uk","","Rossfied Road, CH65 3BS Ellesmere Port, Cheshire, United Kingdom","Cheshire West and Chester","England","Lasse Schriver Nielsen","2"
"644","Intelligent Pixel Technology","Fresh Data","0","0","ITAD","","","","C4-C12 Bolsover Business Park, Bolsover, Derbyshire S44 6BD","Derbyshire","England","Lasse Schriver Nielsen","1"
"645","Interforce","Fresh Data","0","0","","","http://www.interforceuk.com","","83 Kendal, Purfleet, Essex RM19 1LL","Thurrock","England","Lasse Schriver Nielsen","2"
"647","Inturn Industries","Prospect","0","2","ITAD","","http://www.inturntrading.com","","19 Chestnut Drive, NR18 9SB Wymondham, Norfolk, United Kingdom","Norfolk","England","Lasse Schriver Nielsen","2"
"649","Inventory Source Limited","Fresh Data","0","0","ITAD","","http://www.inventorysourceltd.com","","Brulimar House, Jubilee Road, Middleton, Manchester M24 2LX","Greater Manchester","England","Lasse Schriver Nielsen","1"
"650","Iris Conex","Fresh Data","0","0","Broker","","http://www.irisconex.com","","635 Bath Rd., Taplow SL1 6AE,  Wembley, , United Kingdom","Berkshire","England","Lasse Schriver Nielsen","1"
"652","IT CONNECTS LONDON","Fresh Data","1","0","ITAD","","http://www.itcll.co.uk","","111 Whitby Road, Yellow Self Storage, Office No 24, Slough, Berkshire SL1 3DR","Greater London","England","Lasse Schriver Nielsen","1"
"653","IT Links","Fresh Data","0","0","ITAD","","http://www.it-links.co.uk","","15 The Crescent, Middlesbrough TS5 6SG","Middlesbrough","England","Lasse Schriver Nielsen","1"
"654","IT Parts and Spares","Prospect","0","4","ITAD","","http://www.itpartsandspares.com","","Unit 1 & 2 , M26 2ZS Manchester, , United Kingdom","Greater Manchester","England","Lasse Schriver Nielsen","4"
"656","I.T. Trade Services","Fresh Data","0","0","ITAD","","http://www.ittradeuk.com","","Lewisher Road Leicester, Leicestershire LE4 9LR","Leicester","England","Lasse Schriver Nielsen","1"
"657","IT TRADERS UK","Fresh Data","0","0","ITAD","","http://www.ittraders.co.uk","","Brook Farm Unit, Halstead Road, Fordham, Colchester CO6 3LW","Essex","England","Lasse Schriver Nielsen","1"
"658","IT Xchange","Fresh Data","0","0","ITAD","","https://itxchangeglobal.com","","9241 Globe Center Drive suite 100, Morrisville, NC 27560, United States","Wake County","North Carolina","Lasse Schriver Nielsen","2"
"659","ITCSALES.CO.UK","Fresh Data","0","0","ITAD","","","","Wrottesley Store, The Bradshaws, Holyhead Road, Codsall WV8 2HU","Staffordshire","England","Lasse Schriver Nielsen","1"
"660","ITEKDATA","Fresh Data","0","0","IT Service Provider","","http://www.itekdata.com","","1270 Tropic Park Dr, 32773 Sanford, Florida, United States","Seminole County","Florida","Lasse Schriver Nielsen","2"
"661","ITELLIGENTSIA GLOBAL","Fresh Data","0","0","Broker","","http://www.Itellglobal.com","","72 West St, PO16 9UN Fareham, , United Kingdom","Hampshire","England","Lasse Schriver Nielsen","1"
"662","ITinStock","Prospect","0","0","ITAD","","http://www.itinstock.com","","Plastek House, Delamare Road, Cheshunt, Waltham Cross EN8 9SB","Hertfordshire","England","Lasse Schriver Nielsen","2"
"663","ITRegeneration","Fresh Data","0","0","ITAD","","http://www.itregeneration.net","","105 Nene Parade, March, Cambridgeshire PE15 8TA","Cambridgeshire","England","Lasse Schriver Nielsen","1"
"664","Jarvis Tech","Prospect","0","3","Broker","","http://www.jarvistech.co.uk","","Burwash Road, TN21 8QZ Heathfield, England, United Kingdom","East Sussex","England","Lasse Schriver Nielsen","3"
"667","TeamKCI","Fresh Data","0","0","Data Centre, IT Service Provider","","http://www.teamkci.com","","27 Utter Ave, 07506 Hawthorne, New Jersey, United States","Passaic County","New Jersey","Lasse Schriver Nielsen","2"
"668","KEW COMPUTERS","Fresh Data","0","0","Broker","","http://www.kewcomputers.com","","Unit 2 Petersfield Business Park, Bedford Road, Petersfield, Hampshire GU32 3QA","Hampshire","England","Lasse Schriver Nielsen","1"
"669","KSD Technology Group","Fresh Data","0","0","Broker","","http://www.ksdtech.co.uk","","ST ANDREWS MILL, BD7 2EA BRADFORD, West Yorkshire, United Kingdom","West Yorkshire","England","Lasse Schriver Nielsen","2"
"670","Kudos Remarketing","Fresh Data","0","0","ITAD","","http://www.kudosremarketing.co.uk","","Odiham Road, Farnham GU10 5AB","","England","Lasse Schriver Nielsen","1"
"672","LanPartsDirect","Prospect","0","2","Broker","","http://www.lanpartsdirect.com","","200 Horton Road, UB7 8HX West Drayton, London, United Kingdom","Greater London","England","Lasse Schriver Nielsen","2"
"673","LA Peripherals","Fresh Data","0","0","IT Service Provider","","http://www.LAPltd.co.uk","","16 Eldon Way, SG18 8NH Biggleswade, England, United Kingdom","Central Bedfordshire","England","Lasse Schriver Nielsen","3"
"674","LA Recycling","Prospect","0","1","ITAD","","http://www.larecycling.co.uk","","Unit 16 Eldon Way, SG18 8NH Biggleswade, England, United Kingdom","Central Bedfordshire","England","Lasse Schriver Nielsen","1"
"675","Level3Computer","Fresh Data","0","0","Broker","","","","Unit 2, Cater Gate Works, Thornbury Road, Bradford BD38HE","West Yorkshire","England","Lasse Schriver Nielsen","1"
"676","LikedItems UK Ltd.","Fresh Data","0","0","Broker","","","","20 Tadworth Parade, Elm Park RM12 5AS","Greater London","England","Lasse Schriver Nielsen","1"
